,country,continent,date,cases,deaths,country_code,population,normalized deaths,normalized cases
186,Timor_Leste,Asia,2020-04-12,0,0,TLS,1267972.0,0.0,0.0
187,Togo,Africa,2020-04-12,0,0,TGO,7889094.0,0.0,0.0
188,Trinidad_and_Tobago,America,2020-04-12,3,0,TTO,1389858.0,0.0,2.1584938893037993e-06
189,Tunisia,Africa,2020-04-12,14,3,TUN,11565204.0,2.5939879659710283e-07,1.2105277174531465e-06
190,Turkey,Asia,2020-04-12,5138,95,TUR,82319724.0,1.1540369110081078e-06,6.241517525010167e-05
191,Turks_and_Caicos_islands,America,2020-04-12,0,0,TCA,31458.0,0.0,0.0
192,Uganda,Africa,2020-04-12,0,0,UGA,42723139.0,0.0,0.0
193,Ukraine,Europe,2020-04-12,308,4,UKR,44622516.0,8.964084409762999e-08,6.90234499551751e-06
194,United_Arab_Emirates,Asia,2020-04-12,376,4,ARE,9630959.0,4.153272794536868e-07,3.904076426864656e-05
195,United_Kingdom,Europe,2020-04-12,8719,839,GBR,66488991.0,1.2618630353406927e-05,0.00013113449112199643
196,United_Republic_of_Tanzania,Africa,2020-04-12,0,0,TZA,56318348.0,0.0,0.0
197,United_States_Virgin_Islands,America,2020-04-12,1,0,VIR,106977.0,0.0,9.347803733512811e-06
198,United_States_of_America,America,2020-04-12,28391,1831,USA,327167434.0,5.596522788389752e-06,8.67781968788495e-05
199,Uruguay,America,2020-04-12,7,0,URY,3449299.0,0.0,2.029397857361742e-06
200,Uzbekistan,Asia,2020-04-12,172,1,UZB,32955400.0,3.034404073384028e-08,5.2191750062205285e-06
201,Venezuela,America,2020-04-12,0,0,VEN,28870195.0,0.0,0.0
202,Vietnam,Asia,2020-04-12,4,0,VNM,95540395.0,0.0,4.1867107624999875e-08
203,Yemen,Asia,2020-04-12,0,0,YEM,28498687.0,0.0,0.0
204,Zambia,Africa,2020-04-12,0,0,ZMB,17351822.0,0.0,0.0
205,Zimbabwe,Africa,2020-04-12,3,0,ZWE,14439018.0,0.0,2.077703622226941e-07
